Director,Movie,Genre,Year,Duration,Tagline
Sergio Leone,The Good the Bad and the Ugly,Western,1966,178,You can't escape the past.
Sam Mendes,1917,War,2019,119,Not every battle is fought with weapons.
Michael Bay,Transformers,Sci-Fi,2007,144,All's fair in love and war.
Kathryn Bigelow,The Hurt Locker,War,2008,131,Based on a true story.
Robert Zemeckis,Forrest Gump,Romance,1994,142,A journey through the life of a boy.
Damien Chazelle,La La Land,Comedy,2016,128,Some legends never die.
Tim Burton,Edward Scissorhands,Fantasy,1990,105,Dreams come true in the unlikeliest of places.
John Carpenter,Halloween,Thriller,1978,91,"Sometimes, the truth is stranger than fiction."
Guy Ritchie,Snatch,Crime,2000,104,Love can be the strongest weapon.
Gore Verbinski,The Curse of the Black Pearl,Fantasy,2003,143,Three strangers on a journey toward self-discovery.
Richard Linklater,Boyhood,Drama,2014,165,History is made by those who dare to defy the odds.
John Hughes,The Breakfast Club,Comedy,1985,97,Every moment matters.
Mel Gibson,Braveheart,War,1995,178,Change is the only constant.
Frank Darabont,The Shawshank Redemption,Drama,1994,142,"Out of the darkness, hope shines bright."
Ang Lee,Life of Pi,Adventure,2012,127,Sometimes you just have to take a leap of faith.
Robert Eggers,The Witch,Horror,2015,92,The power of imagination is limitless.
Paul Greengrass,Captain Phillips,Adventure,2013,134,Life can change in the blink of an eye.
Matthew Vaughn,Kingsman - The Secret Service,Action,2014,129,The greatest adventure of all is the one you create.
Penny Marshall,Big,Comedy,1988,104,"Redemption is a journey, not a destination."
Luc Besson,The Fifth Element,Sci-Fi,1997,126,Believe in the impossible.
Zack Snyder,300,Action,2006,117,"Every story has a beginning, middle, and end."
David O. Russell,Silver Linings Playbook,Romance,2012,122,Revel in the absurdity of life.
Alfonso Cuarón,Gravity,Sci-Fi,2013,91,Some paths are meant to be traveled alone.
Jon Favreau,Iron Man,Sci-Fi,2008,126,True love knows no bounds.
Brad Bird,The Incredibles,Animation,2004,115,Welcome to a world where anything can happen.
Akira Kurosawa,Seven Samurai,Action,1954,207,The past is never truly gone.
Stanley Donen,Singin' in the Rain,Musical,1952,103,Not every battle is fought with weapons.
Roman Polanski,Chinatown,Crime,1974,130,The power of belief can move mountains.
Christopher McQuarrie,Mission Impossible - Fallout,Action,2018,147,Life is a complicated puzzle.
Seth MacFarlane,Ted,Comedy,2012,106,"Dream big, work hard."
Martin McDonagh,Three Billboards Outside Ebbing Missouri,Crime,2017,115,Every picture tells a story.
Richard Donner,Superman,Action,1978,143,Sometimes the answers lie within.
Ridley Scott,Alien,Sci-Fi,1979,117,Redemption comes at a cost.
Herbert Ross,Footloose,Musical,1984,107,True friendship is a rare gem.
Sydney Pollack,Out of Africa,Biography,1985,161,The only limit is your imagination.
Kenneth Branagh,Belfast,Drama,2021,98,Fate has a funny way of working things out.
Tom McCarthy,Spotlight,Biography,2015,129,Discover the extraordinary in the ordinary.
Peter Farrelly,Green Book,Biography,2018,130,Believe in the power of love.
Jean-Marc Vallée,Dallas Buyers Club,Biography,2013,117,"Sometimes, adventure finds you."
Woody Allen,Annie Hall,Comedy,1977,93,Live the life you love.
Danny Boyle,Slumdog Millionaire,Romance,2008,120,Some stories are meant to be told.
Joel Schumacher,Batman Forever,Action,1995,121,"Follow your heart, but take your brain with you."
Robert Rodriguez,Sin City,Action,2005,124,"To be a hero, you must embrace the chaos."
John Ford,The Searchers,Western,1956,119,"Life is a journey, not a destination."
Mike Nichols,The Graduate,Comedy,1967,106,A world of adventure awaits.
Terrence Malick,The Tree of Life,Fantasy,2011,139,Discover the beauty in every moment.
Orson Welles,Citizen Kane,Mystery,1941,119,The answer lies within.
Woody Allen,Midnight in Paris,Comedy,2011,94,"Sometimes, the greatest risk is taking a chance."
Taika Waititi,Jojo Rabbit,Comedy,2019,108,Live life in full color.
Todd Phillips,Joker,Crime,2019,122,The road to madness is paved with laughter.
James Gunn,Guardians of the Galaxy,Action,2014,121,This is the way the world ends.
Adam McKay,The Big Short,Comedy,2015,130,A complex web of lies leads to the truth.
Sam Raimi,Spider-Man 2,Action,2004,127,With great power comes great responsibility.
Michael Mann,Heat,Crime,1995,170,"In a world of crime, trust is a luxury."
Terry Gilliam,Brazil,Sci-Fi,1985,132,Escape is just a state of mind.
Steven Spielberg,E.T. the Extra-Terrestrial,Adventure,1982,115,A boy's journey to find his way home.
Mel Brooks,Young Frankenstein,Horror,1974,106,It's alive!
